"N00036633","Abraham, Ralph","R","LA05","H4LA05221",2016
"N00039682","Accavitti, Frank Jr","D","MI10","H6MI10227",2016
"N00037014","Achadjian, Katcho","R","CA24","H6CA24295",2016
"N00035451","Adams, Alma","D","NC12","H4NC12100",2016
"N00036990","Adams, Boyce","R","MS01","H5MS01067",2016
"N00037273","Adams, David","R","FL26","H6FL26017",2016
"N00037274","Adams, Desmund","D","IA03","H6IA03235",2016
"N00027843","Adams, Eddie","R","FL14","H6FL11175",2016
"N00032432","Adams, John","R","OH03","H0OH15099",2016
"N00039496","Adams, Scott","I","CA38","H6CA38113",2016
"N00036926","Adcock, Sam","R","MS01","H5MS01034",2016
"N00003028","Aderholt, Robert B","R","AL04","H6AL04098",2016
"N00039680","Adkins, Alex","D","HI01","H6HI01204",2016
"N00033165","Agbede, Akinyemi","D","CAS1","S6CA00634",2016
"N00039294","Agra, John","R","AZ09","H6AZ09036",2016
"N00033997","Aguilar, Pete","D","CA31","H2CA31125",2016
"N00037402","Alam, MD","D","MOS1","S6MO00388",2016
"N00039383","Alarcon, Richard","D","CA29","H6CA29229",2016
"N00038843","Albarran, Charlene","D","UT02","H6UT02390",2016
"N00039147","Albertson, Ed","D","OH12","H6OH12127",2016
"N00036917","Albertson, Stewart","D","CAS1","S6CA00618",2016
"N00038776","Allan, Seth","R","OR05","H6OR05168",2016
"N00032277","Allen, Jason","R","MI01","H0MI01104",2016
"N00033720","Allen, Richard W","R","GA12","H2GA12121",2016
"N00039082","Allvord, Terry","R","CA52","H6CA52155",2016
"N00031938","Amash, Justin","R","MI03","H0MI03126",2016
"N00031177","Amodei, Mark","R","NV02","H2NV02395",2016
"N00039258","Anders, Sam","R","GA03","H6GA03121",2016
"N00038203","Anderson, Dave","D","MD08","H6MD08515",2016
"N00038571","Anderson, Phil","L","WIS2","S6WI00152",2016
"N00037163","Anderson, Stephanie",3,"FL23","H6FL23048",2016
"N00038605","Andres, Teresita","D","CA22","H6CA22166",2016
"N00039398","Angelle, Scott","R","LA03","H6LA03130",2016
"N00027581","Angle, Sharron","R","NVS2","S0NV00138",2016
"N00038806","Ansel, Jeff","I","TX13","H6TX13126",2016
"N00039301","Anthanasopoulos, George","R","CO07","H6CO07106",2016
"N00038621","Anthony, Malcolm","R","FL06","H6FL06142",2016
"N00038599","Appleby, Alex","L","CA09","H6CA09106",2016
"N00037263","Applegate, Douglas L","D","CA49","H6CA49102",2016
"N00039709","Arberry, Morse Jr","D","NV04","H6NV04095",2016
"N00039392","Armedariz, Victor","D","GA04","H6GA04152",2016
"N00038594","Armstrong-Stoner, Derek James","D","AZ08","H6AZ08178",2016
"N00036141","Arness, Mark","R","MD05","H4MD05144",2016
"N00038285","Arrington, Jodey","R","TX19","H6TX19099",2016
"N00036932","Ash, James","R","CA53","H6CA53047",2016
"N00005697","Ashby, Ken","L","TX05","H8TX05052",2016
"N00005293","Ashford, Brad","D","NE02","H4NE02054",2016
"N00036354","Ashworth, Matthew","R","OH08","H6OH08117",2016
"N00038654","Assini, Mark W","R","NY25","H6NY25166",2016
"N00031491","Atanus, Susanne","R","IL09","H0IL09080",2016
"N00039426","Atkins, Ken","R","TN08","H6TN08201",2016
"N00037020","Atkinson, Jacquie","R","CA52","H6CA52114",2016
"N00030980","Ayotte, Kelly","R","NHS1","S0NH00235",2016
"N00036877","Azumah, Joel","I","NY09","H4NY09090",2016
"N00033731","Babeu, Paul","R","AZ01","H2AZ04127",2016
"N00005736","Babin, Brian","R","TX36","H6TX02079",2016
"N00039414","Babinec, Martin","R","NY22","H6NY22148",2016
"N00007089","Baca, Joe","R","CA31","H6CA42099",2016
"N00039657","Bacallao, Mary Kay","R","GAS2","S6GA00242",2016
"N00037049","Bacon, Donald John","R","NE02","H6NE02125",2016
"N00039568","Baez, Leonel Mr.","D","NY15","H6NY15134",2016
"N00036336","Bakari, Kamau","I","NV01","H4NV01187",2016
"N00038660","Baker, Bruce","R","CO07","H6CO07098",2016
"N00037618","Baker, Collin","R","TX06","H6TX06153",2016
"N00039545","Baker, Jeffrey Ronald","R","NC10","H6NC10166",2016
"N00039699","Baker, Lou","R","NV01","H6NV01240",2016
"N00037598","Baker, Terry","R","MD06","H6MD06220",2016
"N00039476","Balcallao, Mary Kay","R","GAS2","S6GA00234",2016
"N00036368","Balchunis, Mary Ellen","D","PA07","H4PA07092",2016
"N00037452","Baldacci, Joe","D","ME02","H6ME02122",2016
"N00035112","Ballard, Scott J","L","TX31","H2TX11095",2016
"N00037303","Bangstad, Kirk","D","WI07","H6WI07140",2016
"N00037185","Banks, Jim","R","IN03","H6IN03229",2016
"N00007182","Banuelos, Robert","D","CA48","H2CA46040",2016
"N00039493","Barajas, Ramon III","R","CA27","H6CA27280",2016
"N00037608","Bard, Gavin",3,"NJ01","H6NJ01196",2016
"N00037030","Baricevic, Charles John","D","IL12","H6IL12099",2016
"N00033200","Barkley, Mike","D","CA10","H2CA00096",2016
"N00039473","Barksdale, Jim","D","GAS2","S6GA00200",2016
"N00025495","Barletta, Lou","R","PA11","H2PA11098",2016
"N00039578","Barnes, Rudy Jr",3,"SC05","H6SC05137",2016
"N00038619","Barney, Sean","D","DE01","H6DE01097",2016
"N00031233","Barr, Andy","R","KY06","H0KY06104",2016
"N00037019","Barragan, Nanette","D","CA44","H6CA44103",2016
"N00038828","Barrera, Roy","D","TX27","H6TX27092",2016
"N00039540","Barrett, Dan","R","NC13","H6NC03179",2016
"N00037265","Barringer, Adam","R","FL06","H6FL06100",2016
"N00037454","Bartley, Lori","R","TX18","H6TX18141",2016
"N00005656","Barton, Joe","R","TX06","H4TX06117",2016
"N00001883","Barve, Kumar P","D","MD08","H6MD08291",2016
"N00039092","Barz, Michael","I","IL05","H6IL05192",2016
"N00038671","Basham, Danny","D","IN06","H6IN06164",2016
"N00031877","Bass, Karen","D","CA37","H0CA33117",2016
"N00037160","Batsche, Christopher","R","MOS1","S6MO00370",2016
"N00039684","Batsche, Christopher","R","MO07","H6MO07219",2016
"N00038259","Batts, Jason","R","KY01","H6KY01102",2016
"N00038687","Baucum, Trey","R","LA04","H6LA04120",2016
"N00038659","Baugh, Scott","R","CA48","H6CA48245",2016
"N00039586","Bault, David","R","TN08","H6TN08219",2016
"N00038277","Beagle, Bill","R","OH08","H6OH08141",2016
"N00038245","Bean, Rowan","I","AZ02","H6AZ02197",2016
"N00033904","Beatty, Joyce","D","OH03","H2OH03125",2016
"N00009774","Becerra, Xavier","D","CA34","H2CA30143",2016
"N00036936","Beck, Kristin","D","MD05","H6MD05198",2016
"N00032702","Becker, Francis X Jr","R","NY04","H0NY04099",2016
"N00037624","Becker, Julie",3,"WI05","H6WI05102",2016
"N00038849","Bedell, Eileen McNeil","D","VA07","H6VA07148",2016
"N00034073","Bedwell, Danny","L","MS01","H2MS01114",2016
